613300844	20161231	201612	2016	2016.9890	JUD	JUDGE						JUD													0	173	173	17	4	-5.0	3	1	3	-3.95901257568701	4	Abbottabad, North-West Frontier, Pakistan	PK	PK03	40337	34.1469	73.2145	-2754270	0								4	Abbottabad, North-West Frontier, Pakistan	PK	PK03	40337	34.1469	73.2145	-2754270	20170101073000	http://www.newsnow.in/news/us-judge-blocks-transgender-abortion-related-obamacare-protections
613300845	20161231	201612	2016	2016.9890	JUD	JUDGE						JUD													0	180	180	18	4	-9.0	6	1	6	-3.95901257568701	4	Abbottabad, North-West Frontier, Pakistan	PK	PK03	40337	34.1469	73.2145	-2754270	0								4	Abbottabad, North-West Frontier, Pakistan	PK	PK03	40337	34.1469	73.2145	-2754270	20170101073000	http://www.newsnow.in/news/us-judge-blocks-transgender-abortion-related-obamacare-protections
613300846	20161231	201612	2016	2016.9890	JUD	JUDGE						JUD			PAK	PAKISTAN	PAK								0	173	173	17	4	-5.0	2	1	2	-3.95901257568701	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20170101073000	http://www.newsnow.in/news/us-judge-blocks-transgender-abortion-related-obamacare-protections
613300847	20161231	201612	2016	2016.9890	JUD	JUDGE						JUD			PAK	PAKISTAN	PAK								0	173	173	17	4	-5.0	2	1	2	-3.95901257568701	4	Abbottabad, North-West Frontier, Pakistan	PK	PK03	40337	34.1469	73.2145	-2754270	4	Abbottabad, North-West Frontier, Pakistan	PK	PK03	40337	34.1469	73.2145	-2754270	4	Abbottabad, North-West Frontier, Pakistan	PK	PK03	40337	34.1469	73.2145	-2754270	20170101073000	http://www.newsnow.in/news/us-judge-blocks-transgender-abortion-related-obamacare-protections
613300848	20161231	201612	2016	2016.9890	JUD	JUDGE						JUD			PAK	PAKISTAN	PAK								0	180	180	18	4	-9.0	4	1	4	-3.95901257568701	4	Abbottabad, North-West Frontier, Pakistan	PK	PK03	40337	34.1469	73.2145	-2754270	4	Abbottabad, North-West Frontier, Pakistan	PK	PK03	40337	34.1469	73.2145	-2754270	4	Abbottabad, North-West Frontier, Pakistan	PK	PK03	40337	34.1469	73.2145	-2754270	20170101073000	http://www.newsnow.in/news/us-judge-blocks-transgender-abortion-related-obamacare-protections
613300849	20161231	201612	2016	2016.9890	MIL	ARMY CHIEF						MIL													1	090	090	09	2	-2.0	5	1	5	2.28136882129277	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20170101073000	http://ptinews.com/news/8242807_Army-won-t-shy-away-from-flexing-its-muscles--Gen-Rawat.html
613300850	20170101	201701	2017	2017.0027											AFG	AFGHANISTAN	AFG								1	043	043	04	1	2.8	6	1	6	-0.63291139240506	0								5	Helmand, Helmand, Afghanistan	AF	AF10	3544	31	64	-3377342	5	Helmand, Helmand, Afghanistan	AF	AF10	3544	31	64	-3377342	20170101073000	Sharq TV, Jalalabad/BBC Monitoring/(c) BBC
613300851	20170101	201701	2017	2017.0027											AFG	AFGHANISTAN	AFG								1	043	043	04	1	2.8	2	1	2	-0.63291139240506	0								5	Helmand, Helmand, Afghanistan	AF	AF10	3544	31	64	-3377342	4	Pachir, Nangarhar, Afghanistan	AF	AF18	3656	34.2948	70.3148	-3386545	20170101073000	Sharq TV, Jalalabad/BBC Monitoring/(c) BBC
613300852	20170101	201701	2017	2017.0027											BDI	BURUNDI	BDI								1	190	190	19	4	-10.0	1	1	1	-9.70464135021097	0								4	Rohero, Bujumbura City, Burundi	BY	BY24	40577	-3.3797	29.3639	6034027	4	Rohero, Bujumbura City, Burundi	BY	BY24	40577	-3.3797	29.3639	6034027	20170101073000	http://www.monitor.co.ug/News/World/Burundi-minister-assassinated/688340-3503574-4w3h2qz/
613300853	20170101	201701	2017	2017.0027											BGD	BDESH	BGD								1	057	057	05	1	8.0	10	1	10	1.34228187919463	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20170101073000	http://www.business-standard.com/article/pti-stories/petronet-signs-pact-to-set-up-950-mn-lng-project-in-b-desh-117010100168_1.html
613300854	20170101	201701	2017	2017.0027											BUS	COMPANIES						BUS			1	050	050	05	1	3.5	10	1	10	-4.19354838709678	0								1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20170101073000	http://www.tribuneindia.com/news/world/french-workers-get-right-to-disconnect-from-today/344486.html
613300855	20170101	201701	2017	2017.0027											CAN	CANADA	CAN								0	036	036	03	1	4.0	5	1	5	-1.33333333333333	0								4	Flin Flon, Manitoba, Canada	CA	CA03	154724	54.7667	-101.883	-564707	4	Flin Flon, Manitoba, Canada	CA	CA03	154724	54.7667	-101.883	-564707	20170101073000	http://www.thereminder.ca/community/social-news/passings-flin-flon-spca-ambassador-was-a-friendly-feline-1.5837702
613300856	20170101	201701	2017	2017.0027											CHN	CHINA	CHN								1	043	043	04	1	2.8	2	1	2	-7.12328767123287	0								4	Li Yong, Jiangxi, China	CH	CH03	13165	29.378	117.39	11015056	4	Li Yong, Jiangxi, China	CH	CH03	13165	29.378	117.39	11015056	20170101073000	http://news.asiaone.com/news/asia/chinese-anti-graft-official-vice-probe
