613300846	20170101073000	20170101073000	1	newsnow.in	http://www.newsnow.in/news/us-judge-blocks-transgender-abortion-related-obamacare-protections	12	9691	9727	9717	0	20	13428	-3.95901257568701		
613300847	20170101073000	20170101073000	1	newsnow.in	http://www.newsnow.in/news/us-judge-blocks-transgender-abortion-related-obamacare-protections	12	9691	9727	9717	0	20	13428	-3.95901257568701		
613300848	20170101073000	20170101073000	1	newsnow.in	http://www.newsnow.in/news/us-judge-blocks-transgender-abortion-related-obamacare-protections	12	9691	9727	9740	0	40	13428	-3.95901257568701		
613292337	20170101060000	20170101073000	1	ptinews.com	http://ptinews.com/news/8242338_Deal-reached-to-end-DRCongo-political-crisis-.html	14	2298	2504	2314	1	50	2531	-4.15647921760391		
613292338	20170101060000	20170101073000	1	ptinews.com	http://ptinews.com/news/8242338_Deal-reached-to-end-DRCongo-political-crisis-.html	14	2298	2504	2481	1	50	2531	-4.15647921760391		
613300849	20170101073000	20170101073000	1	ptinews.com	http://ptinews.com/news/8242807_Army-won-t-shy-away-from-flexing-its-muscles--Gen-Rawat.html	4	789	-1	854	1	50	1520	2.28136882129277		
613300850	20170101073000	20170101073000	2	BBC Monitoring	Sharq TV, Jalalabad/BBC Monitoring/(c) BBC	6	-1	1235	1187	0	60	2125	-0.63291139240506		
613300851	20170101073000	20170101073000	2	BBC Monitoring	Sharq TV, Jalalabad/BBC Monitoring/(c) BBC	6	-1	1197	1187	0	20	2125	-0.63291139240506		
613272844	20170101024500	20170101073000	1	adelaidenow.com.au	http://www.adelaidenow.com.au/news/three-days-homeless-on-streets-of-melbourne/news-story/c2e3875984e923a17de05db57eb41d9f?nk=fb85b2d4be53236af841a06206141f31-1483254982	6	-1	2174	2064	1	100	10257	-2.10688591983556		
613272844	20170101024500	20170101073000	1	heraldsun.com.au	http://www.heraldsun.com.au/lifestyle/three-days-homeless-on-streets-of-melbourne/news-story/cb237f457fd1d4408f5ff122e03ea6cc?nk=108abb43f36f40a251d015d7b5c00bc9-1483254999	6	-1	2174	2064	1	100	10257	-2.10688591983556		
613254268	20170101003000	20170101073000	1	easternriverinachronicle.com.au	http://www.easternriverinachronicle.com.au/story/4381630/disgruntled-qantas-passengers-spend-new-years-eve-in-the-sky-dozens-more-still-stranded-in-dubai/	2	-1	1091	1077	1	50	2530	-3.50877192982456		
613254268	20170101003000	20170101073000	1	mandurahmail.com.au	http://www.mandurahmail.com.au/story/4381630/disgruntled-qantas-passengers-spend-new-years-eve-in-the-sky-dozens-more-still-stranded-in-dubai/	2	-1	1091	1077	1	50	2530	-3.50877192982456		
613254268	20170101003000	20170101073000	1	lithgowmercury.com.au	http://www.lithgowmercury.com.au/story/4381630/disgruntled-qantas-passengers-spend-new-years-eve-in-the-sky-dozens-more-still-stranded-in-dubai/	2	-1	1091	1077	1	50	2530	-3.50877192982456		
